Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,80166193,8,6,56,11601,20,0,7.0,5.656854249,4380,0,1933.5,1757.789948,145.4104226,0.174637206,6166630.231,18900000.0,68500000,3,78300000,11200000.0,25500000.0,68500000,3,1850224,370044.8,812720.832,1823743,14,0,0,0,0,172,132,0.099792689,0.074844517,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,5003.0,0.0,5003,5003,39200000.0,41500000.0,68500000,9822757
53,31423,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,5219.107024,127.2952933,10474.33333,18136.01534,31416,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,80,63.64764663,63.64764663,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,40,0,0,0,0,0,0,2,66,2,98,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,83799659,8,6,369,11595,345,0,46.125,120.8002336,10136,0,1932.5,4060.245892,142.7690774,0.167065119,6446127.615,22900000.0,82700000,5,83700000,12000000.0,31200000.0,82700000,5,83800000,16800000.0,37400000.0,83700000,187,0,0,0,0,224,200,0.095465782,0.071599337,0,10136,798.0,2610.452424,6814461.857,1,0,0,0,0,0,0,0,0,855.0,46.125,1932.5,224,0,0,0,0,0,0,8,369,6,11595,0,235,4,20,13975.0,0.0,13975,13975,82700000.0,0.0,82700000,82700000
80,845379,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,13760.69195,8.280309778,140896.5,344779.6981,844675,5,629,314.5,376.8879144,581,48,845325,281775.0,487485.8048,844675,5,0,0,0,0,72,92,3.548704191,4.731605588,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
80,8044822,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.983285398,0.497214233,2681607.333,4644676.683,8044818,0,8044822,2681607.333,4644676.683,8044818,0,0,0.0,0.0,0,0,0,0,0,0,80,0,0.497214233,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,4.0,0.0,4,4,8044818.0,0.0,8044818,8044818
21,8809919,9,15,111,188,24,0,12.33333333,10.04987562,34,0,12.53333333,14.54975045,33.93901805,2.724202118,383039.9565,1007881.406,3336611,3,5687194,710899.25,1345660.097,3379477,244,8809794,629271.0,1245888.667,3336611,3,0,0,0,0,296,488,1.021575794,1.702626324,0,34,11.96,12.78175783,163.3733333,0,0,0,1,0,0,0,0,1,12.45833333,12.33333333,12.53333333,296,0,0,0,0,0,0,9,111,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0
80,7792808,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.079762776,0.513293796,2597602.667,4497438.22,7790797,964,7792808,2597602.667,4497438.22,7790797,964,0,0.0,0.0,0,0,0,0,0,0,80,0,0.513293796,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,2011.0,0.0,2011,2011,7790797.0,0.0,7790797,7790797
765,84,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,95238.09524,23809.52381,84.0,0.0,84,84,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,11904.7619,11904.7619,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,119519,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,97281.60376,58.56809378,19919.83333,43760.17308,108889,4,9992,4996.0,7059.754103,9988,4,119456,39818.66667,60033.38673,108889,187,0,0,0,0,72,92,25.10061162,33.46748216,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
80,296118,3,4,26,11601,20,0,8.666666667,10.26320288,5840,0,2900.25,3345.636997,39264.75256,23.6392249,49353.0,115065.4162,284041,49,11836,5918.0,8195.367594,11713,123,296033,98677.66667,160634.2442,284041,192,0,0,0,0,72,92,10.13109639,13.50812852,0,5840,1453.375,2681.356423,7189672.268,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
80,132447,3,5,351,11595,351,0,117.0,202.6499445,10136,0,2319.0,4414.366206,90194.56839,60.4015191,18921.0,43581.91854,117095,47,15025,7512.5,9221.379533,14033,992,132198,33049.5,56456.26043,117095,84,0,0,0,0,104,168,22.65056966,37.75094944,0,10136,1327.333333,3337.330483,11100000.0,0,0,0,1,0,0,0,0,1,1493.25,117.0,2319.0,104,0,0,0,0,0,0,3,351,5,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0
2135,50,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,80000.0,40000.0,50.0,0.0,50,50,50,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0,0,0,48,0,40000.0,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0
22,12320417,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,385.7823968,4.301802447,236931.0962,638710.0253,2236148,3,10500000,523679.05,922420.7626,2301131,225,12300000,397429.7097,792265.9318,2236148,3,0,0,0,0,680,1032,1.704487762,2.597314685,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0
53,258,2,2,70,350,35,35,35.0,0.0,175,175,175.0,0.0,1627906.977,15503.87597,86.0,147.2243186,256,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,40,40,7751.937984,7751.937984,35,175,91.0,76.68115805,5880.0,0,0,0,0,0,0,0,0,1,113.75,35.0,175.0,40,0,0,0,0,0,0,2,70,2,350,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,39446,4,2,192,128,48,48,48.0,0.0,64,64,64.0,0.0,8112.356132,152.1066775,7889.2,13078.70296,30174,4,30182,10060.66667,17418.65762,30174,4,48,48.0,0.0,48,48,0,0,0,0,80,64,101.4044517,50.70222583,48,64,52.57142857,7.807200584,60.95238095,0,0,0,0,0,0,0,0,0,61.33333333,48.0,64.0,80,0,0,0,0,0,0,4,192,2,128,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
21,8908793,9,15,105,188,22,0,11.66666667,9.273618495,34,0,12.53333333,14.54975045,32.88885487,2.693967634,387338.8261,1011495.387,3257985,3,5867265,733408.125,1370201.869,3300419,3,8908672,636333.7143,1249328.274,3257985,3,0,0,0,0,296,488,1.010237863,1.683729771,0,34,11.72,12.58146785,158.2933333,0,0,0,1,0,0,0,0,1,12.20833333,11.66666667,12.53333333,296,0,0,0,0,0,0,9,105,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0
80,85630116,6,7,366,11595,348,0,61.0,140.6314332,7240,0,1656.428571,2566.885263,139.6821651,0.151815747,7135843.0,24700000.0,85500000,1,85500000,17100000.0,38200000.0,85500000,1,85600000,14300000.0,34900000.0,85500000,69,0,0,0,0,164,232,0.070068806,0.081746941,0,7240,854.7857143,1934.140961,3740901.258,1,0,0,0,0,0,0,0,1,920.5384615,61.0,1656.428571,164,0,0,0,0,0,0,6,366,7,11595,0,235,3,20,11034.0,0.0,11034,11034,85500000.0,0.0,85500000,85500000
80,9049768,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.315002108,0.552500351,2262442.0,4523559.358,9047781,1,9049768,2262442.0,4523559.358,9047781,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.552500351,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1987.0,0.0,1987,1987,9047781.0,0.0,9047781,9047781
22,13251799,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,358.6682835,3.999456979,254842.2885,688255.3021,2594277,3,10600000,530685.2,929981.3918,2310611,490,13300000,427472.0968,853909.8665,2594277,3,0,0,0,0,680,1032,1.584690501,2.414766478,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0
6901,74,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,108108.1081,27027.02703,74.0,0.0,74,74,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,13513.51351,13513.51351,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
55401,62,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,48387.09677,31.0,38.18376618,58,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,32,32258.06452,16129.03226,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,349,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0
